id	code	name	download_link	notes	filename	platform	n_details	ancestry_details	consortium	permissions	assembly	uk_biobank	ancestry	dependent_variable	sex	n_cases	n_controls	n_total	time_created	time_updated	reference_id	phenotype_id	category_id	category_name	phenotype	phenotype_type	pmid	year
1	ACCU01	Subcortical brain regions: Nucleus Accumbens	http://enigma.ini.usc.edu/publications/enigma-2/data-agreement-for-enigma2-download/		ENIGMA2_MeanAccumbens_Combined_GenomeControlled_Jan23.tbl.gz			European	ENIGMA 	ON DEMAND	GRCh37/hg19	no	EUR	continuous	both	NA	NA	13171	2019-02-05 16:37:59	2019-02-21 13:46:49	52	372	13	nervous system	brain vol. nucleus accumbens	trait	25607358	2015
2	ACHI01	Achilles heel injury	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Kim_ACL_Achilles/AchillesSummary.txt.zip	NA	AchillesSummary.txt.gz	NA	NA	83,264 European-White (EUR); 8,560 Latino (LAT); 7,518 East Asian (EAS); 3,161 African-American (AFR); and 476 South Asian (SAS) individuals based on ancestry principle components.	NA	FREE	NA	yes	MIX	binary	both	5148	102979	108127	2019-02-05 16:37:59	2019-02-05 16:37:59	105	202	12	musculoskeletal and connective	Achilles heel injury	trait	28358823	2017
3	ADHD01	ADHD	https://www.med.unc.edu/pgc/files/resultfiles/pgc.adhd.2012-10.zip	NA	pgc.adhd.full.2012-10.txt.gz	NA	NA	European	PGC	FREE	NCBI36/hg18	no	EUR	binary	both	2787	2635	5422	2019-02-05 16:37:59	2019-02-05 16:37:59	9	139	7	mental and behavioural	ADHD	disorder	20732625	2012
4	ADHD02	ADHD symptoms	https://klaasjan.org/index.php/s/KHMw3SxdcWBW55s	NA	EAGLE_20151029_n10k_NOGC1_Psort.tbl.gz	NA	NA	European	EAGLE	FREE	GRCh37/hg19	no	EUR	continuous	both	NA	NA	17666	2019-02-05 16:37:59	2019-02-05 16:37:59	92	154	7	mental and behavioural	ADHD symptoms	trait	27663945	2016
5	ADHD03	Cross-disorder: ADHD subset	http://www.med.unc.edu/pgc/files/resultfiles/pgc.cross.add.zip	NA	pgc.cross.ADD4.2013-05.txt.gz	NA	NA	European	PGC	FREE	NCBI36/hg18	no	EUR	binary	both	2960	2455	5422	2019-02-05 16:37:59	2019-02-05 16:37:59	28	139	7	mental and behavioural	ADHD	disorder	23453885	2013
6	ADHD04	ADHD	https://www.med.unc.edu/pgc/results-and-downloads/data-use-agreement-forms/ADHD_2017_data_download_agreement	NA	adhd_jul2017.gz	NA	NA	Full	PGC	FREE	NA	no	MIX	binary	both	20183	35191	55374	2019-02-05 16:37:59	2019-02-05 16:37:59	131	139	7	mental and behavioural	ADHD	disorder	30478444	2017
7	ADHD05	ADHD	https://www.med.unc.edu/pgc/results-and-downloads/data-use-agreement-forms/copy_of_ADHDEA2017_data_download_agreement	NA	adhd_eur_jun2017.gz	NA	NA	European	PGC	FREE	NA	no	EUR	binary	both	19099	34194	53293	2019-02-05 16:37:59	2019-02-05 16:37:59	131	139	7	mental and behavioural	ADHD	disorder	30478444	2017
8	ADHD05F	ADHD female	https://www.med.unc.edu/pgc/results-and-downloads/data-use-agreement-forms/meta_pgc_ipsych_females.gz%20_data_download_agreement	NA	META_PGC_iPSYCH_females.gz	NA	NA	European	PGC	FREE	NA	no	EUR	binary	female	4945	16246	21191	2019-02-05 16:37:59	2019-02-05 16:37:59	126	139	7	mental and behavioural	ADHD	disorder	29325848	2017
9	ADHD05M	ADHD male	https://www.med.unc.edu/pgc/results-and-downloads/data-use-agreement-forms/meta_pgc_ipsych_males.gz%20_data_download_agreement	NA	META_PGC_iPSYCH_males.gz	NA	NA	European	PGC	FREE	NA	no	EUR	binary	male	14154	17948	32102	2019-02-05 16:37:59	2019-02-05 16:37:59	126	139	7	mental and behavioural	ADHD	disorder	29325848	2017
10	ADIP01	Pericardial adipose tissue volume	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/PAT.tar.gz	NA	PAT_OVERALL_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	both	NA	NA	18332	2019-02-05 16:37:59	2019-02-05 16:37:59	99	3	1	anthropometric	adip. tissue vol. pericard.	biomarker	27918534	2017
